Name,District,Type,Description,SchoolYear
BROOKS ACADEMY OF SCIENCE AND ENGI,15830,I,CHARTER SCHOOL DISTRICTS,2013-14
BROOKS COUNTY ISD,24901,D,OTHER CENTRAL CITY SUBURBAN,2013-14
BROWNFIELD ISD,223901,G,NON-METROPOLITAN STABLE,2013-14
BROWNSBORO ISD,107902,D,OTHER CENTRAL CITY SUBURBAN,2013-14
BROWNSVILLE ISD,31901,C,OTHER CENTRAL CITY,2013-14
BROWNWOOD ISD,25902,E,INDEPENDENT TOWN,2013-14
BRUCEVILLE-EDDY ISD,161919,H,RURAL,2013-14
BRYAN ISD,21902,C,OTHER CENTRAL CITY,2013-14
BRYSON ISD,119901,H,RURAL,2013-14
BUCKHOLTS ISD,166907,H,RURAL,2013-14
BUENA VISTA ISD,186901,H,RURAL,2013-14
BUFFALO ISD,145901,G,NON-METROPOLITAN STABLE,2013-14
BULLARD ISD,212902,D,OTHER CENTRAL CITY SUBURBAN,2013-14
BUNA ISD,121903,G,NON-METROPOLITAN STABLE,2013-14
BURKBURNETT ISD,243901,D,OTHER CENTRAL CITY SUBURBAN,2013-14
BURKEVILLE ISD,176901,H,RURAL,2013-14
BURLESON ISD,126902,C,OTHER CENTRAL CITY,2013-14
BURNET CISD,27903,D,OTHER CENTRAL CITY SUBURBAN,2013-14
BURNHAM WOOD CHARTER SCHOOL DISTRI,71801,I,CHARTER SCHOOL DISTRICTS,2013-14
BURTON ISD,239903,H,RURAL,2013-14
BUSHLAND ISD,188904,D,OTHER CENTRAL CITY SUBURBAN,2013-14
BYNUM ISD,109902,H,RURAL,2013-14
C O R E ACADEMY,101869,I,CHARTER SCHOOL DISTRICTS,2013-14
CADDO MILLS ISD,116901,G,NON-METROPOLITAN STABLE,2013-14
CALALLEN ISD,178903,G,NON-METROPOLITAN STABLE,2013-14
CALDWELL ISD,26901,D,OTHER CENTRAL CITY SUBURBAN,2013-14
CALHOUN COUNTY ISD,29901,G,NON-METROPOLITAN STABLE,2013-14
